"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"1",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.01,96
"2",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.025,96
"3",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.05,96
"4",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.1,96
"5",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.15,96
"6",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.2,96
"7",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.25,96
"8",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.3,96
"9",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.35,96
"10",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.4,96
"11",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.45,96
"12",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.5,96
"13",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.55,96
"14",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.6,96
"15",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.65,96
"16",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.7,96
"17",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.75,96
"18",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.8,96
"19",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.85,96
"20",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.9,96
"21",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.95,96
"22",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.975,96
"23",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"01","quantile",0.99,96
"24",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.01,40
"25",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.025,40
"26",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.05,40
"27",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.1,40
"28",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.15,40
"29",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.2,40
"30",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.25,40
"31",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.3,40
"32",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.35,40
"33",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.4,40
"34",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.45,40
"35",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.5,40
"36",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.55,40
"37",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.6,40
"38",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.65,40
"39",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.7,40
"40",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.75,40
"41",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.8,40
"42",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.85,40
"43",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.9,40
"44",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.95,40
"45",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.975,40
"46",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"02","quantile",0.99,40
"47",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.01,5
"48",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.025,5
"49",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.05,5
"50",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.1,5
"51",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.15,5
"52",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.2,5
"53",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.25,5
"54",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.3,5
"55",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.35,5
"56",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.4,5
"57",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.45,5
"58",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.5,5
"59",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.55,5
"60",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.6,5
"61",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.65,5
"62",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.7,5
"63",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.75,5
"64",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.8,5
"65",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.85,5
"66",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.9,5
"67",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.95,5
"68",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.975,5
"69",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"04","quantile",0.99,5
"70",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.01,55
"71",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.025,55
"72",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.05,55
"73",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.1,55
"74",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.15,55
"75",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.2,55
"76",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.25,55
"77",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.3,55
"78",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.35,55
"79",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.4,55
"80",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.45,55
"81",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.5,55
"82",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.55,55
"83",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.6,55
"84",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.65,55
"85",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.7,55
"86",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.75,55
"87",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.8,55
"88",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.85,55
"89",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.9,55
"90",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.95,55
"91",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.975,55
"92",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"05","quantile",0.99,55
"93",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.01,26
"94",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.025,26
"95",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.05,26
"96",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.1,26
"97",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.15,26
"98",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.2,26
"99",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.25,26
"100",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.3,26
"101",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.35,26
"102",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.4,26
"103",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.45,26
"104",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.5,26
"105",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.55,26
"106",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.6,26
"107",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.65,26
"108",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.7,26
"109",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.75,26
"110",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.8,26
"111",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.85,26
"112",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.9,26
"113",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.95,26
"114",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.975,26
"115",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"06","quantile",0.99,26
"116",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"08","quantile",0.01,25
"117",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"08","quantile",0.025,25
"118",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"08","quantile",0.05,25
"119",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"08","quantile",0.1,25
"120",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"08","quantile",0.15,25
"121",2024-11-09,-1,"wk inc covid hosp",2024-11-02,"08","quantile",0.2,25
