"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.01,4.96
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.025,6.9
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.05,9.95
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.1,13
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.15,18
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.2,20
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.25,22.75
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.3,25
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.35,26.65
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.4,29
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.45,30.55
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.5,32.5
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.55,35.45
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.6,37
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.65,41
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.7,44.3
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.75,47.75
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.8,56.2
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.85,62.3
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.9,71.2
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.95,84
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.975,91.1
"2024-11-16","wk inc covid hosp",1,2024-11-23,"01","quantile",0.99,107.39
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.01,0.99
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.025,2.95
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.05,4.95
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.1,8.9
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.15,14.85
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.2,18.8
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.25,21
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.3,24
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.35,26.65
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.4,28
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.45,30
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.5,37
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.55,39
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.6,43.2
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.65,47
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.7,54
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.75,64.25
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.8,73.4
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.85,91.75
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.9,107.6
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.95,130.55
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.975,154.35
"2024-11-16","wk inc covid hosp",2,2024-11-30,"01","quantile",0.99,173.4
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.01,0
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.025,0
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.05,1.95
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.1,12.3
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.15,15
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.2,17
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.25,19
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.3,22.7
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.35,25
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.4,29
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.45,32.65
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.5,37
"2024-11-16","wk inc covid hosp",3,2024-12-07,"01","quantile",0.55,43.45
